EventDate,EventName,Quantity,Price,Merchandise_Sales,Concession_Sales
2018-12-26 17:00:00,Mary Queen of Scots,37,306.5,0.0,85.25
2018-12-26 19:30:00,Mary Queen of Scots,21,194.75,0.0,8.5
2018-12-27 17:00:00,Mary Queen of Scots,32,267.25,0.0,161.75
2018-12-27 19:30:00,Mary Queen of Scots,28,266.0,0.0,138.25
2018-12-28 16:30:00,Mary Queen of Scots,17,145.0,0.0,33.75
2018-12-28 19:00:00,Mary Queen of Scots,32,254.5,0.0,115.25
2018-12-28 21:30:00,Anna and the Apocalypse,24,184.0,0.0,189.5
2018-12-29 14:00:00,Mary Queen of Scots,9,59.0,0.0,15.0
2018-12-29 16:30:00,Mary Queen of Scots,19,155.75,0.0,74.25
2018-12-29 19:00:00,Mary Queen of Scots,24,215.5,0.0,73.0
2018-12-29 21:30:00,Anna and the Apocalypse,12,96.0,0.0,40.0
2018-12-30 14:30:00,Mary Queen of Scots,28,234.5,0.0,78.0
2018-12-30 17:00:00,Mary Queen of Scots,13,107.0,0.0,24.0
2018-12-30 19:30:00,Mary Queen of Scots,36,341.0,0.0,112.75
2018-12-31 17:00:00,Mary Queen of Scots,15,126.75,0.0,39.75
2018-12-31 19:30:00,Mary Queen of Scots,11,97.75,0.0,12.0
2019-01-01 14:30:00,Mary Queen of Scots,21,174.75,0.0,51.5
2019-01-01 17:00:00,Mary Queen of Scots,17,124.5,0.0,101.0
2019-01-02 17:00:00,Mary Queen of Scots,11,90.25,0.0,50.5
2019-01-02 19:30:00,Mary Queen of Scots,24,213.25,0.0,95.0
2019-01-03 16:30:00,Mary Queen of Scots,16,132.5,0.0,18.5
2019-01-03 19:00:00,Mary Queen of Scots,16,139.5,0.0,42.0
2019-01-03 21:30:00,Anna and the Apocalypse,27,208.0,0.0,121.0
2019-01-04 16:30:00,Maria by Callas,10,82.25,0.0,12.75
2019-01-04 19:00:00,At Eternity's Gate,90,770.75,10.0,256.25
2019-01-04 21:30:00,The Clovehitch Killer,1,8.0,0.0,48.5
2019-01-05 14:00:00,Maria by Callas,27,221.25,0.0,26.5
2019-01-05 16:30:00,At Eternity's Gate,58,446.0,0.0,135.75
2019-01-05 19:00:00,At Eternity's Gate,102,885.75,0.0,215.25
2019-01-05 21:30:00,The Clovehitch Killer,18,144.0,0.0,92.75
2019-01-06 14:30:00,At Eternity's Gate,99,795.75,0.0,199.0
2019-01-06 17:00:00,Maria by Callas,29,230.5,0.0,110.25
2019-01-06 19:30:00,Border,21,189.75,0.0,81.75
2019-01-07 17:00:00,At Eternity's Gate,59,483.25,0.0,113.5
2019-01-07 19:30:00,Maria by Callas,15,120.0,0.0,60.25
2019-01-08 17:00:00,Border,20,153.75,0.0,79.25
2019-01-08 19:30:00,At Eternity's Gate,79,690.0,10.0,210.25
2019-01-09 17:00:00,Maria by Callas,14,90.25,0.0,32.0
2019-01-09 19:30:00,Border,37,345.75,0.0,92.5
2019-01-10 16:30:00,Maria by Callas,23,181.25,0.0,55.75
2019-01-10 19:00:00,At Eternity's Gate,99,884.0,0.0,334.75
2019-01-10 21:30:00,The Clovehitch Killer,33,232.0,0.0,33.75
2019-01-11 16:30:00,If Beale Street Could Talk,37,255.5,0.0,99.5
2019-01-11 19:00:00,If Beale Street Could Talk,52,463.75,0.0,181.25
2019-01-11 21:30:00,Don’t Look Now,10,64.0,0.0,25.5
2019-01-12 14:00:00,If Beale Street Could Talk,33,281.25,0.0,136.5
2019-01-12 16:30:00,If Beale Street Could Talk,28,234.5,0.0,138.5
2019-01-12 19:00:00,If Beale Street Could Talk,23,216.25,0.0,44.25
2019-01-12 21:30:00,Don’t Look Now,6,32.0,0.0,24.0
2019-01-13 14:30:00,If Beale Street Could Talk,66,549.75,0.0,201.5
2019-01-13 17:00:00,If Beale Street Could Talk,28,230.25,0.0,163.25
2019-01-13 19:30:00,If Beale Street Could Talk,10,100.0,0.0,23.25
2019-01-14 17:00:00,If Beale Street Could Talk,8,65.5,0.0,26.5
2019-01-14 19:30:00,If Beale Street Could Talk,26,215.75,0.0,98.25
2019-01-15 17:00:00,If Beale Street Could Talk,33,276.0,0.0,99.5
2019-01-15 19:30:00,A League of Their Own,44,417.0,0.0,263.75
2019-01-16 16:30:00,If Beale Street Could Talk,16,133.25,0.0,364.5
2019-01-17 16:30:00,If Beale Street Could Talk,3,24.0,0.0,17.5
2019-01-17 19:00:00,If Beale Street Could Talk,22,202.25,10.0,61.75
2019-01-17 21:30:00,Don’t Look Now,23,176.0,0.0,43.75
2019-01-18 16:30:00,If Beale Street Could Talk,25,177.0,0.0,77.75
2019-01-18 19:00:00,If Beale Street Could Talk,41,349.75,0.0,96.75
2019-01-18 21:30:00,Why Don’t You Play in Hell?,8,64.0,0.0,22.25
2019-01-19 14:00:00,If Beale Street Could Talk,14,117.25,0.0,30.0
2019-01-19 16:30:00,If Beale Street Could Talk,22,188.75,0.0,61.0
2019-01-19 19:00:00,If Beale Street Could Talk,31,287.0,0.0,94.5
2019-01-19 21:30:00,Why Don’t You Play in Hell?,5,24.0,0.0,20.5
2019-01-20 14:30:00,If Beale Street Could Talk,16,134.0,0.0,48.5
2019-01-20 17:00:00,If Beale Street Could Talk,12,102.0,0.0,49.0
2019-01-20 19:30:00,If Beale Street Could Talk,19,170.0,0.0,45.75
2019-01-21 16:30:00,If Beale Street Could Talk,27,224.25,0.0,181.25
2019-01-22 17:00:00,If Beale Street Could Talk,9,74.25,0.0,37.75
2019-01-22 19:30:00,L’Atalante,28,213.5,0.0,82.75
2019-01-23 16:30:00,If Beale Street Could Talk,13,107.0,0.0,9.0
