Event,Adult,Child,Comp,Member,Senior,Student
The Nutcracker (NYC Ballet),28,0,0,0,2,24
The Nutty Professor,7,0,0,3,3,0
The Old Man & the Gun,404,0,14,14,808,55
The Ornithologist,0,0,3,0,0,0
The Oscar Nominated Short Films 2017: Animation,363,6,5,2,110,247
The Oscar Nominated Short Films 2017: Documentary,42,0,0,4,53,21
The Oscar Nominated Short Films 2017: Live Action,158,0,2,6,182,67
The Oscar Nominated Short Films 2018: Animation,137,4,0,6,93,47
The Oscar Nominated Short Films 2018: Documentary,123,0,2,8,92,18
The Oscar Nominated Short Films 2018: Live Action,127,3,1,13,115,35
The Oscar Nominated Short Films 2019: Documentary,50,1,2,8,68,14
The Oscar Nominated Short Films 2019: Live Action,114,0,1,7,91,41
The Party,110,0,0,5,77,14
The Passion of Joan of Arc,23,0,0,5,8,9
The People vs. Fritz Bauer,19,0,2,3,19,11
The Phantom of the Opera,124,0,0,0,0,0
The Ranger,0,0,18,0,0,0
The Red Turtle,0,12,0,0,0,0
The River and the Wall,70,1,0,1,78,14
The Rocky Horror Picture Show,2707,0,9,6,0,0
The Room,1715,0,13,5,0,0
The Salesman,79,0,0,2,100,79
The Sandlot,20,0,0,0,0,0
The Second Mother,29,0,0,3,17,25
The Secret World of Arrietty,0,22,0,0,0,0
The Shape of Water,990,2,15,35,329,310
The Shocktober Film Festival,17,0,0,3,0,0
The Son of Joseph,12,0,29,0,0,0
The Texas Chain Saw Massacre,119,0,0,2,0,0
The Texas Chainsaw Massacre 2,34,0,3,1,0,0
The Treasure of the Sierra Madre,18,0,0,0,18,10
The Trip to Spain,86,0,1,2,99,10
The Umbrellas of Cherbourg,57,0,3,7,0,0
The United States of Autism,38,0,0,1,0,0
The Vessel,15,0,0,0,12,2
The Void,130,0,0,0,0,0
The Wailing,114,0,3,1,1,2
The Wife,265,0,6,7,541,39
The Wound,45,0,1,3,6,15
The Zookeeper's Wife,418,5,0,10,530,118
Thelma & Louise,15,0,0,1,5,3
They Shall Not Grow Old,217,0,5,5,134,31
This Is Home: A Refugee Story,9,1,0,1,12,1
Thoroughbreds,184,1,2,6,17,38
"Three BIllboards Outside Ebbing, Missouri",625,0,13,19,365,160
Three Identical Strangers,703,11,14,9,519,146
Tickled,182,0,2,0,17,65
Time Bandits,56,5,0,12,0,0
Time for Ilhan,5,0,0,3,2,2
Tito and the Birds,0,83,0,0,0,0
To Be Or Not to Be,76,0,0,0,0,10
Todo el año es navidad,6,0,1,1,2,0
Tom of Finland,115,0,2,7,27,29
Tommy,17,0,0,3,0,0
Toni Erdmann,35,0,2,2,35,8
Toni Morrison: The Pieces I am ,22,0,2,0,38,7
Tony Conrad: Completely in the Present,38,0,0,0,0,0
Too Late to Die Young ,27,0,0,3,22,8
Transit,32,0,0,3,29,9
Trespassing Bergman,9,0,0,4,0,0
Truth or Dare,0,0,5,0,0,0
Twin Peaks: Fire Walk with Me ,111,0,0,0,0,0
Twister,58,0,0,0,0,0
Velvet Goldmine,13,0,0,3,0,0
Viceroy's House,88,0,0,9,150,17
Victoria and Abdul,464,6,2,22,936,80
Warehoused,21,0,0,0,0,0
Weiner,46,1,0,0,0,1
Wendy and Lucy,29,0,0,2,21,5
What Ever Happened to Baby Jane?,55,1,0,0,13,2
Whose Streets?,32,0,1,0,13,17
Why Don’t You Play in Hell?,18,0,0,3,0,0
Wild & Scenic Film Festival 2017,149,0,5,18,0,0
Wild Nights with Emily,56,0,3,4,51,18
Wildlife,142,0,6,4,129,38
Willy Wonka & the Chocolate Factory,18,11,0,0,6,4
Woman at War,42,0,0,3,36,14
Won't You Be My Neighbor?,2050,74,24,16,809,267
Yellow Submarine,122,21,2,4,29,21
You Were Never Really Here,159,0,2,5,29,30
Your Name.,696,19,0,6,40,79
Zama,20,0,0,3,2,8
Zarafa,0,119,0,0,0,0
