,Events,Quantity,Price,Merchandise_Sales,Concession_Sales
148,A Ghost Story,411,3540.75,30,1118.25
222,Lady Bird,626,5200.75,30,2138
232,On the Beach at Night Alone,52,431.5,30,133.5
281,Annihilation,197,1621,30,714.25
288,The Death of Stalin,486,4230.25,30,1635.5
344,Mandy,179,1439.5,30,819.75
376,Wildlife,319,2674.5,30,889
385,"A Bread Factory, Part Two",30,50,30,99.5
397,Shoplifters,336,2804.5,30,811
59,Loving,1459,12001,35,4322.75
386,Mary Queen of Scots,741,6269,35,2406
422,Jimi Hendrix Electric Church,78,645.5,35,374
19,Indignation,771,6189.5,40,1875
26,Multiple Maniacs,52,400,40,190
29,Little Men,56,431,40,149.25
44,Possession,75,600,40,279
46,Rosemary's Baby,128,960,40,516.5
71,The Phantom of the Opera,124,1488,40,460
84,I Am Not Your Negro,1183,9954.25,40,3038.25
122,My Cousin Rachel,610,4965.25,40,1812.25
160,Raw,102,0,40,346.25
161,Step,163,1270.75,40,444.5
195,Victoria and Abdul,1510,11972.5,40,3844
206,Loving Vincent,1961,15845.25,40,5250.5
224,Darkest Hour,917,7378.75,40,2795.25
229,Taxi Driver,56,448,40,227.75
253,Film Stars Don't Die in Liverpool,212,1759.5,40,578.25
294,First Reformed,999,8623.25,40,3336.5
34,The Room,1733,13720,50,6117.75
76,The Oscar Nominated Short Films 2017: Animation,733,6284.5,50,1611
88,A United Kingdom,505,4134.75,50,1376.75
126,Indiana Jones and the Last Crusade,161,1272.5,50,564.25
139,Jurassic Park,66,528,50,241.5
182,The Clan,44,384,50,145
209,Night of the Living Dead,30,240,50,128
271,Isle of Dogs,1983,17428.5,50,7193
285,RBG,2381,20417.25,50,6503.25
306,Sorry to Bother You,1284,11298.75,50,4897
480,Midsommar,554,4931.25,50,2530.75
485,The Last Black Man in San Francisco,666,5744.75,50,2146.25
359,The Blob (1988),25,184,55,90
90,Kedi,1009,8334.5,60,2901.5
196,Eraserhead,117,880,60,360.5
228,Phantom Thread,941,7728.25,60,2629
415,After Auschwitz,89,790,60,273.75
22,Don't Think Twice,1009,8628,70,3171.75
277,Lean on Pete,565,4858.25,70,1651.5
233,The Shape of Water,1681,13971.5,75,5076.25
11,Cafe Society,963,7919.75,80,2502.75
68,Lion,766,6211.5,80,2890.25
199,All-Nite Horror Marathon V,73,1444,80,464
65,Manchester by the Sea,1299,10706.75,83,3966.75
58,Moonlight,2212,18559.5,100,6259.75
70,Jackie,1892,15612.25,110,5892.5
299,Won't You Be My Neighbor?,3240,28367.25,110,11155.5
54,All Nite Movie Marathon,65,861,131,496
27,Miss Sharon Jones!,53,447,140,446
33,The Beatles: Eight Days a Week - The Touring Years,747,6255.5,140,2838
55,Certain Women,215,1736.25,187,2449.5
310,Three Identical Strangers,1402,12114.5,0,4408
